,key,val
507,Đảm bảo chất lượng và an toàn thực phẩm,7540106
508,Công nghệ chế biến lâm sản,7549001
509,Kỹ thuật cơ sở hạ tầng,7580210
510,Khuyến nông ( song ngành Khuyến nông - Phát triển nông thôn),7620102
511,Chăn nuôi ( song ngành Chăn nuôi - Thú Y),7620105
512,Nông học,7620109
513,Khoa học cây trồng,7620110
514,Bảo vệ thực vật,7620112
515,"Công nghệ rau, hoa quả và cảnh quan",7620113
516,Phát triển nông thôn,7620116
517,Lâm học,7620201
518,Lâm nghiệp đô thị,7620202
519,Quản lý tài nguyên rừng,7620211
520,Nuôi trồng thủy sản,7620301
521,Bệnh học thủy sản,7620302
522,Quản lý thủy sản,7620305
523,Đảm bảo chất lượng và an toàn thực phẩm,7540106
524,Công nghệ chế biến lâm sản,7549001
525,Kỹ thuật cơ sở hạ tầng,7520103
526,Khuyến nông (Song ngành Khuyến nông và Phát triển nông thôn),7620102
527,Khoa học đất,7620103
528,Chăn nuôi (song ngành Chăn nuôi - Thú y),7620105
529,Công nghệ rau hoa quả và cảnh quan,7620113
530,Lâm nghiệp,76202
531,Quản lý nguồn lợi thủy sản,7620305
532,Quàn lý đất đai,7850103
533,Chăn nuôi,7620105
534,Khoa học đất,7620103
535,Khuyến nông,7620102
536,Công thôn,74802
537,Kỹ thuật cơ sờ hạ tầng,7580210
538,Khuyên nông (songngành Khuyến nông - Phát triển nông thôn),7620116
539,Chăn nuôi (song ngành Chân nuôi - Thủy),7620105
540,Ọuản lý đất đai,7850103
541,Công nghệ kỹ thuật cơ điện tử*,7510203
542,Quản lí tài nguyên rừng,7620211
543,Nuôi trồng thuỷ sản,7620301
544,Quản lí đất đai,7850103
545,Trồng trọt,7620110
546,Công nghệ và công trình nông thôn,74802
547,Cơ khí chế biến bảo quản nông sản thực phẩm,75401
548,Công nghệ thực phẩm:,7540101
549,Khoa học cây trồng:,7620110
550,Bảo vệ thực vật:,7620112
551,Bảo quản chế biến nông sản,7540105
552,Bảo quản chế biến nông sản:,7540105
553,Khoa học nghề vườn:,74403
554,Khoa học nghề vườn,74403
555,Lâm nghiệp:,76202
556,Chăn nuôi thú y,7620105
557,Thú y:,764
558,Nuôi trồng thủy sản.,7620301
559,Nông học.,7620109
560,Khuyến nông và phát triển nông thôn.,7620116
561,Khuyến nông và phát triển nông thôn,7620116
562,Quản lý tài nguyên rừng và môi trường.,78501
563,Quản lý tài nguyên rừng và môi trường,78501
564,Chế biến lâm sản:,7549001
565,Chế biến lâm sản,7549001
566,Khoa học đất:,7620103
567,Quản lí môi trường và nguồn lợi thuỷ sản,785
568,Quản lí môi trường và nguồn lợi thuỷ sản:,785
569,Quản lí đất đai:,7850103
570,Phát triển nông thôn:,7620116
571,Trồng trọt:,7620110
572,Chăn nuôi - Thú y:,7620105
573,Chăn nuôi - Thú y,7620105
574,Nuôi trồng thuỷ sản:,7620301
575,Công nghiệp và công trình nông thôn,76201
576,Khoa cây trồng học.,7620110
577,Khoa cây trồng học,7620110
578,Bảo vệ thực vật.,7620112
